"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"1/31/2026 8 p.m. PST",29814,29639,4463,-9399
CAL,"1/31/2026 9 p.m. PST",28988,28788,4198,-8630
CAL,"1/31/2026 10 p.m. PST",28540,28284,4136,-8954
CAL,"1/31/2026 11 p.m. PST",27617,27326,3922,-9590
CAL,"2/1/2026 12 a.m. PST",26229,25993,3787,-9227
CAL,"2/1/2026 1 a.m. PST",25510,25322,3667,-9614
CAL,"2/1/2026 2 a.m. PST",24389,24287,3635,-8887
CAL,"2/1/2026 3 a.m. PST",23543,23455,3559,-8562
CAL,"2/1/2026 4 a.m. PST",23104,23051,3486,-8336
CAL,"2/1/2026 5 a.m. PST",23086,23051,3377,-8331
CAL,"2/1/2026 6 a.m. PST",23559,23551,3485,-8365
CAL,"2/1/2026 7 a.m. PST",24418,24465,3770,-7644
CAL,"2/1/2026 8 a.m. PST",24692,24681,3820,-7127
CAL,"2/1/2026 9 a.m. PST",23826,23506,3805,-5304
CAL,"2/1/2026 10 a.m. PST",22237,21867,4038,-3667
CAL,"2/1/2026 11 a.m. PST",20797,20413,4187,-3370
CAL,"2/1/2026 12 p.m. PST",19731,19394,4099,-3227
CAL,"2/1/2026 1 p.m. PST",19309,18928,4029,-3304
CAL,"2/1/2026 2 p.m. PST",19974,19408,4106,-3332
CAL,"2/1/2026 3 p.m. PST",21597,21091,3801,-3697
CAL,"2/1/2026 4 p.m. PST",23860,23347,3840,-4191
CAL,"2/1/2026 5 p.m. PST",26496,26021,4270,-8361
CAL,"2/1/2026 6 p.m. PST",29396,28901,4880,-9102
CAL,"2/1/2026 7 p.m. PST",30424,30024,4858,-9549
CAL,"2/1/2026 8 p.m. PST",29812,29542,4594,-9831
CAL,"2/1/2026 9 p.m. PST",29262,28945,4374,-9916
CAL,"2/1/2026 10 p.m. PST",28583,28290,4024,-9739
CAL,"2/1/2026 11 p.m. PST",27202,26927,3828,-9981
CAL,"2/2/2026 12 a.m. PST",25685,25445,3130,-10061
CAL,"2/2/2026 1 a.m. PST",24941,24711,3346,-9893
CAL,"2/2/2026 2 a.m. PST",24052,23852,3336,-9803
CAL,"2/2/2026 3 a.m. PST",23432,23211,3306,-10025
CAL,"2/2/2026 4 a.m. PST",23308,23068,3012,-9792
CAL,"2/2/2026 5 a.m. PST",23896,23682,3268,-9411
CAL,"2/2/2026 6 a.m. PST",25706,25502,3110,-8799
CAL,"2/2/2026 7 a.m. PST",28421,28243,3892,-7221
CAL,"2/2/2026 8 a.m. PST",29965,29724,4501,-7168
CAL,"2/2/2026 9 a.m. PST",29224,28955,4136,-5344
CAL,"2/2/2026 10 a.m. PST",27555,27047,4376,-4048
CAL,"2/2/2026 11 a.m. PST",25590,25039,4425,-4027
CAL,"2/2/2026 12 p.m. PST",24136,23580,4525,-4149
CAL,"2/2/2026 1 p.m. PST",23290,22770,4460,-4081
CAL,"2/2/2026 2 p.m. PST",23483,22893,4387,-4500
CAL,"2/2/2026 3 p.m. PST",24467,24053,3947,-3760
CAL,"2/2/2026 4 p.m. PST",26693,26247,4011,-3844
CAL,"2/2/2026 5 p.m. PST",29408,28976,4348,-7666
CAL,"2/2/2026 6 p.m. PST",31829,31405,5003,-8986
CAL,"2/2/2026 7 p.m. PST",32591,32293,5003,-8806
CAL,"2/2/2026 8 p.m. PST",31694,31627,4610,-8422
CAL,"2/2/2026 9 p.m. PST",30936,30904,4488,-8242
CAL,"2/2/2026 10 p.m. PST",30044,30059,4284,-7905
CAL,"2/2/2026 11 p.m. PST",28335,28390,3663,-8816
CAL,"2/3/2026 12 a.m. PST",26628,26633,3575,-9063
CAL,"2/3/2026 1 a.m. PST",25607,25303,3703,-9339
CAL,"2/3/2026 2 a.m. PST",24732,24360,3734,-8877
CAL,"2/3/2026 3 a.m. PST",23953,23575,3703,-9184
CAL,"2/3/2026 4 a.m. PST",23631,23358,3644,-8510
CAL,"2/3/2026 5 a.m. PST",24222,23922,3676,-8428
CAL,"2/3/2026 6 a.m. PST",25805,25607,4031,-7398
CAL,"2/3/2026 7 a.m. PST",28426,28130,4497,-5519
CAL,"2/3/2026 8 a.m. PST",29657,29353,4718,-6288
CAL,"2/3/2026 9 a.m. PST",29259,28899,4632,-4502
CAL,"2/3/2026 10 a.m. PST",27652,27153,4628,-3963
CAL,"2/3/2026 11 a.m. PST",25803,25234,4500,-3134
CAL,"2/3/2026 12 p.m. PST",24483,23881,4560,-3019
CAL,"2/3/2026 1 p.m. PST",23818,23261,4570,-2707
CAL,"2/3/2026 2 p.m. PST",24359,23736,4556,-3353
CAL,"2/3/2026 3 p.m. PST",25837,25114,4543,-3790
CAL,"2/3/2026 4 p.m. PST",27809,27361,4371,-3645
CAL,"2/3/2026 5 p.m. PST",30141,29766,4546,-6305
CAL,"2/3/2026 6 p.m. PST",32481,32144,4699,-7965
CAL,"2/3/2026 7 p.m. PST",33035,32663,4790,-7669
CAL,"2/3/2026 8 p.m. PST",32322,31897,4857,-7646
CAL,"2/3/2026 9 p.m. PST",31656,31213,4691,-8274
CAL,"2/3/2026 10 p.m. PST",30585,30114,4454,-8669
CAL,"2/3/2026 11 p.m. PST",29001,28482,4153,-9979
CAL,"2/4/2026 12 a.m. PST",27206,26726,,
CAL,"2/4/2026 1 a.m. PST",26313,26088,,
CAL,"2/4/2026 2 a.m. PST",25182,25019,,
CAL,"2/4/2026 3 a.m. PST",24411,24213,,
CAL,"2/4/2026 4 a.m. PST",24113,23910,,
CAL,"2/4/2026 5 a.m. PST",24586,24427,,
CAL,"2/4/2026 6 a.m. PST",26254,26096,,
CAL,"2/4/2026 7 a.m. PST",28735,28555,,
CAL,"2/4/2026 8 a.m. PST",29988,29785,,
CAL,"2/4/2026 9 a.m. PST",28863,28635,,
CAL,"2/4/2026 10 a.m. PST",26835,26597,,
CAL,"2/4/2026 11 a.m. PST",22272,24799,,
CAL,"2/4/2026 12 p.m. PST",20872,23507,,
CAL,"2/4/2026 1 p.m. PST",20334,23057,,
CAL,"2/4/2026 2 p.m. PST",20706,23503,,
CAL,"2/4/2026 3 p.m. PST",25096,25077,,
CAL,"2/4/2026 4 p.m. PST",,27272,,
CAL,"2/4/2026 5 p.m. PST",,29927,,
CAL,"2/4/2026 6 p.m. PST",,32288,,
CAL,"2/4/2026 7 p.m. PST",,32967,,
CAL,"2/4/2026 8 p.m. PST",,32255,,
CAL,"2/4/2026 9 p.m. PST",,31665,,
CAL,"2/4/2026 10 p.m. PST",,30741,,
CAL,"2/4/2026 11 p.m. PST",,29004,,
CAL,"2/5/2026 12 a.m. PST",,27203,,
